"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bolivia","BOL","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.39625","94.61022","92.09501","88.4507","87.76541","87.58961","88.35634","89.64301","91.29061","93.07484","","",
"Brazil","BRA","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.51398","","","93.70571","","97.53301","","95.40211","99.27482","97.84479","97.61097","97.04205","","","","","",
"Barbados","BRB","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","85.53299","86.89114","88.47069","","","98.15505","","","","","95.30617","93.19261","93.36505","","","","","","99.7782","96.64845","","89.22107","","","","","","","","95.57721","94.48545","91.80328","91.37727","89.8235","90.23835","91.87339","95.62326","99.07809","97.94719","95.71802","93.92116","","","94.08999","96.28692","98.55599","95.78701","97.52594","","",
"Brunei Darussalam","BRN","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","88.56238","88.96851","79.53812","79.28354","76.56047","75.02992","76.39527","77.27961","","80.16044","","","","","89.07874","91.82186","95.46467","95.21316","98.14344","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","13.23909","15.59164","","","","","","","","","","","","","","","","","","","50.22886","51.54562","54.78779","57.79673","","","","70.34667","74.82616","","81.56659","86.52828","89.16829","90.50276","92.8337","92.17162","","91.41402","90.67862","90.30842","90.79405","","",
"Botswana","BWA","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","53.12263","49.56221","51.34131","54.88695","59.53586","67.11246","71.9274","76.23953","76.78652","78.23757","82.65349","87.01356","","91.66206","92.07417","93.95577","93.86721","94.3179","94.75767","94.91828","94.99855","97.27605","96.22717","95.38295","95.18357","85.28204","85.60003","","88.25432","87.06785","88.00626","89.33542","89.21249","89.34899","88.67804","89.3522","89.87073","89.53966","87.16181","86.38464","","","89.27674","","","","","","","","",
"Central African Republic","CAF","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","34.26885","36.38039","38.97356","","","","38.08183","37.84995","","","42.2307","43.12012","42.50485","","","50.49967","41.33507","39.87899","40.29103","47.60661","44.41109","","","","","","","","","","","","","","40.45361","40.4587","46.82997","55.09119","55.11041","","56.00476","","","","","","","","","",
"Canada","CAN","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","95.95956","95.49716","94.85156","94.82993","95.23914","95.25014","95.27682","94.92075","96.08404","98.11202","97.87987","95.8605","94.91432","94.10072","95.00646","","99.10776","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.29349","93.63646","94.39074","93.16031","93.70988","93.5628","93.3178","93.18816","92.96245","92.98602","94.63165","94.59152","94.69698","94.94744","94.80817","94.86447","94.16652","93.62315","93.73264","93.36149","93.12443","91.67749","","",
"Switzerland","CHE","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","76.9349","77.40173","","","77.92082","77.79511","77.59522","77.17359","77.01762","77.38807","78.68488","80.45377","82.32717","84.04539","84.9129","84.97695","84.43805","83.68513","88.95611","91.01745","","","","","","","","","","","","","","99.59231","99.78332","99.86111","","","","","","","","",
"Channel Islands","CHI","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.17487","95.62984","94.32579","95.52824","94.77191","94.51068","93.73422","93.47307","93.49292","94.09142","94.79262","","","",
"China","CHN","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.86181","","92.44208","","93.82729","93.15314","92.24111","90.89306","89.55309","88.67978","88.3706","","","","","","","","","","","","","","","","","","","","","","","",
